"","","","liverpool","nottingham","bristol","northeast","greatermanchester","sheffield","westmidlands","leeds","london"
"motorway","motorcycle","2009","5769.8835","2332.715","19114.9405","4057.0845","19513.484","8132.1635","10427.5025","14388.008","17960.336"
"other","motorcycle","2009","22057.461","32564.8985","35189.4675","50701.858","35237.4285","25223.6535","31746.4955","43002.548","435068.32"
"motorway","motorcycle","2010","5836.788","2601.8295","17564.676","3919.881","18089.9475","7916.047","9248.151","13353.9995","17673.665"
"other","motorcycle","2010","20640.239","29379.2515","33091.8125","47236.329","32829.56","23196.9545","29920.948","39221.221","411044.02"
"motorway","motorcycle","2011","6264.3855","2159.851","16430.913","3741.396","17908.1775","8274.112","8300.7935","13443.826","14835.2425"
"other","motorcycle","2011","21222.56","30654.306","32424.3005","47108.9075","31710.835","23522.9725","29454.551","38539.912","394133.7525"
"motorway","motorcycle","2012","5314.546","2507.185","16065.2195","2937.082","18201.3455","7592.146","7577.2905","11339.18125","14723.4065"
"other","motorcycle","2012","20034.04335","27712.041","30568.1295","42952.5576","30799.81325","22099.9689","27710.6613","35678.4799","390580.07965"
"motorway","motorcycle","2013","5254.1385","2382.355","16999.9845","2657.711","17882.08","7382.417","7881.4815","12233.267","19446.2145"
"other","motorcycle","2013","20841.9891","28872.06575","33698.26","43699.65055","33013.97625","23725.584","28473.6281","37712.93515","374170.59945"
"motorway","motorcycle","2014","5708.4175","2016.552","15607.546","2743.2305","17916.0615","6756.369","7226.8175","11632.27625","16026.2375"
"other","motorcycle","2014","21364.8954","29775.751","35347.768","45375.705","33208.9045","24299.4662","29403.3415","37903.7827","393283.4485"
"motorway","motorcycle","2015","5565.593","1973.263","15638.0235","2820.9755","17005.423","6658.6585","8112.563","12558.3725","16911.5815"
"other","motorcycle","2015","20892.0525","29377.8645","34132.61","44366.1515","31571.2955","22474.51","28685.058","36391.7775","396228.6335"
"motorway","motorcycle","2016","5510.405","1834.4535","16997.5025","2389.3265","17183.543","7005.299","8365.6175","12458.326","17373.197"
"other","motorcycle","2016","20544.1345","29184.4145","33854.991","44919.1265","31237.284","22393.918","28140.9525","36354.5475","412778.573"
"motorway","motorcycle","2017","5089.3045","1692.9065","15872.098","2523.756","15970.794","6531.4925","8145.705","11681.825","16409.2685"
"other","motorcycle","2017","21410.9","28122.593","34153.8895","44041.0095","30963.315","21581.1725","28409.6655","33688.2955","421418.1595"
"motorway","motorcycle","2018","4521.474","1641.989","15741.6835","2618.3275","15748.217","6903.537","7851.4055","11409.535","16782.992"
"other","motorcycle","2018","21406.155","28430.9815","35271.921","44623.8415","30405.3395","21874.7055","28825.1815","33820.5715","423505.0835"
"motorway","bus","2005","7724.13","2567.848","14184.0825","3465.4195","21915.4395","12736.529","13615.1935","15185.095","13254.464"
